Captain America,1990,NULL,1,0
Teenage Mutant Ninja Turtles,1990,NULL,1,0
The Flash,1990,1991,0,0
Teenage Mutant Ninja Turtles II: The Secret Of the Ooze,1991,NULL,1,0
Batman: The Animated Series,1992,1995,0,0
Batman Returns,1992,NULL,1,0
X-Men,1992,1997,0,0
Lois & Clark: The New Adventures of Superman,1993,1997,0,0
Teenage Mutant Ninja Turtles III,1993,NULL,1,0
Fantastic Four,1994,1996,0,0
Iron Man,1994,1996,0,0
Spider-Man,1994,1998,0,0
Batman Forever,1995,NULL,1,0
Superman: The Animated Series,1996,2000,0,0
The Incredible Hulk,1996,1997,0,0
Batman and Robin,1997,NULL,1,0
Steel,1997,NULL,1,0
Batman Beyond,1999,2001,0,0
Spider-Man Unlimited,1999,2001,0,0
Avengers: United They Stand,1999,2000,0,0
Static Shock,2000,2004,0,0
X-Men Evolution,2000,2003,0,0
X-Men,2000,NULL,1,0
Smallville,2001,2011,0,0
The Zeta Project,2001,2002,0,0
Justice League,2001,2004,0,0
Birds of Prey,2002,2003,0,0
Spider-Man,2002,NULL,1,0
Daredevil,2003,NULL,1,0
Hulk,2003,NULL,1,0
Teenage Mutant Ninja Turtles,2003,2009,0,0
Spider-Man,2003,NULL,0,0
Teen Titans,2003,2006,0,0
X2: X-Men United,2003,NULL,1,0
Justice League Unlimited,2004,2006,0,0
Spider-Man 2,2004,NULL,1,0
The Batman,2004,2008,0,0
The Punisher,2004,NULL,1,0
Batman Begins,2005,NULL,1,0
Constantine,2005,NULL,1,0
Elektra,2005,NULL,1,0
Fantastic Four,2005,NULL,1,0
Krypto the Superdog,2005,2006,0,0
Fantastic Four: Rise of the Silver Surfer,2007,NULL,1,0
Ghost Rider,2007,NULL,1,0
Spider-Man 3,2007,NULL,1,0
Batman: The Brave and the Bold,2008,2011,0,0
Iron Man: Armored Adventures,2008,2012,0,0
Iron Man,2008,NULL,1,0
The Incredible Hulk,2008,NULL,1,0
The Dark Knight,2008,NULL,1,0
The Spectular Spider-Man,2008,2009,0,0
Wolverine and the X-Men,2008,2009,0,0
The Super Hero Squad Show,2009,2011,0,0
X-Men Origins: Wolverine,2009,NULL,1,0
The Avengers: Earth's Mightiest Heroes,2010,2013,0,0
Iron Man 2,2010,NULL,1,0
Young Justice,2010,2013,0,0
Captain America: The First Avenger,2011,NULL,1,0
Green Lantern,2011,NULL,1,0
Green Lantern: The Animated Series,2011,2014,0,0
Thor,2011,NULL,1,0
Marvel Anime: X-Men,2011,2011,0,0
X-Men: First Class,2011,NULL,1,0
Arrow,2012,NULL,0,1
Ghost Rider: Spirit of Venegance,2012,NULL,1,0
Teenage Mutant Ninja Turtles,2012,NULL,0,1
The Amazing Spider-Man,2012,NULL,1,0
The Avengers,2012,NULL,1,0
The Dark Knight Rises,2012,NULL,1,0
Ultimate Spider-Man,2012,2017,0,0
Agents of S.H.I.E.L.D.,2013,NULL,0,1
Beware the Batman,2013,2014,0,0
Hulk and the Agents of S.M.A.S.H.,2013,NULL,0,1
Iron Man 3,2013,NULL,1,0
Man Of Steel,2013,NULL,1,0
Marvel's Avengers Assemble,2013,NULL,0,1
The Wolverine,2013,NULL,1,0
Thor: The Dark World,2013,NULL,1,0
Captain America: The Winter Solider,2014,NULL,1,0
Gotham,2014,NULL,0,1
Guardians of The Galaxy,2014,NULL,1,0
Teenage Mutant Ninja Turtles,2014,NULL,1,0
The Amazing Spider-Man 2,2014,NULL,1,0
X-Men: Days Of Future Past,2014,NULL,1,0
Agent Carter,2015,2016,0,0
Daredevil,2015,NULL,0,1
